Prospect ID,Company,Lead Number,Mobile Number,Lead Source,Lead Origin,Country,Job Title,Lead Stage,Engagement Score,Website,TotalVisits,Page Views Per Visit,Average Time Per Visit,Industry,Source Campaign,Last Activity,Lead Type
4427,142,660737,28,6,0,37,1,6,0,20,0.0,0.0,0.0,,19,10,2
1554,142,660728,28,7,0,12,1,8,0,20,5.0,2.5,83.75,,19,5,2
5140,142,660727,28,1,1,12,1,7,80,20,2.0,2.0,4.0,,19,5,2
467,142,660719,28,1,1,12,1,8,0,20,1.0,1.0,0.0,,19,13,2
1874,142,660681,28,3,1,12,1,7,10,20,2.0,1.0,0.0,,3,1,2
1193,142,660680,28,6,0,37,1,2,0,20,0.0,0.0,0.0,,19,9,2
5784,142,660673,28,3,1,12,1,7,10,20,2.0,2.0,6.0,,6,5,2
1217,142,660664,28,6,0,37,1,8,0,20,0.0,0.0,0.0,,19,9,2
7492,142,660624,28,1,1,12,1,8,0,20,2.0,2.0,3.0,,19,5,2
6334,142,660616,28,3,0,12,1,8,0,20,4.0,4.0,274.5,,13,5,2
1557,142,660608,28,7,1,12,1,7,80,20,8.0,8.0,193.86,,19,5,2
5654,142,660570,28,1,1,12,1,0,0,20,8.0,2.67,26.8,,19,10,2
5124,142,660562,28,7,0,12,1,7,120,20,11.0,11.0,130.0,,19,5,2
4990,142,660558,28,7,1,12,1,8,0,20,5.0,5.0,115.75,,19,5,2
6089,142,660553,28,1,1,24,1,2,0,20,1.0,1.0,0.0,,19,2,2
1387,142,660547,28,7,0,12,1,7,90,20,6.0,6.0,266.4,,19,5,2
2162,142,660540,28,6,0,37,1,2,0,20,0.0,0.0,0.0,,19,9,2
8320,142,660534,28,11,0,12,1,6,0,20,6.0,6.0,64.8,,19,3,2
4788,41,660522,28,3,1,12,1,7,60,20,6.0,3.0,318.0,,13,10,2
2520,142,660509,28,7,0,12,1,6,0,20,3.0,3.0,370.67,,19,10,2
7095,142,660479,28,3,1,12,1,6,0,20,1.0,1.0,0.0,,12,13,2
9150,142,660478,28,3,0,12,1,6,0,20,4.0,1.33,67.0,,12,10,2
5250,142,660471,28,3,1,12,1,7,0,20,1.0,1.0,0.0,,6,1,2
8565,142,660461,28,3,1,12,1,8,0,20,4.0,4.0,52.67,,5,3,2
8568,142,660458,28,3,0,12,1,7,110,20,6.0,1.5,396.0,,12,5,2
1855,142,660447,28,3,1,12,1,7,10,20,3.0,3.0,144.5,,13,7,2
7100,142,660432,28,7,1,12,1,7,70,20,4.0,2.0,100.5,,19,5,2
4001,142,660424,28,3,1,12,1,7,60,20,6.0,6.0,173.2,,12,5,2
4766,142,660423,28,1,1,12,1,8,0,20,5.0,5.0,266.6,,19,5,0
6470,142,660410,28,3,0,12,1,7,30,20,3.0,3.0,179.5,,12,13,2
7913,142,660402,28,1,1,12,1,7,120,20,7.0,3.5,147.33,,19,5,2
7591,142,660374,28,3,0,12,1,6,0,20,3.0,1.5,261.0,,13,5,2
7210,142,660361,28,11,0,12,1,6,0,20,4.0,2.0,52.0,,19,10,2
