Prospect ID,Company,Lead Number,Mobile Number,Lead Source,Lead Origin,Country,Job Title,Lead Stage,Engagement Score,Website,TotalVisits,Page Views Per Visit,Average Time Per Visit,Industry,Source Campaign,Last Activity,Lead Type,Lead Score
4427,142,660737,28,6,0,37,1,6,0,20,0.0,0.0,0.0,0.0,19,10,2,0.8
1554,142,660728,28,7,0,12,1,8,0,20,5.0,2.5,83.75,0.0,19,5,2,14.9375
5140,142,660727,28,1,1,12,1,7,80,20,2.0,2.0,4.0,0.0,19,5,2,26.2
467,142,660719,28,1,1,12,1,8,0,20,1.0,1.0,0.0,0.0,19,13,2,1.3499999999999999
1874,142,660681,28,3,1,12,1,7,10,20,2.0,1.0,0.0,0.0,3,1,2,4.45
1193,142,660680,28,6,0,37,1,2,0,20,0.0,0.0,0.0,0.0,19,9,2,0.4
5784,142,660673,28,3,1,12,1,7,10,20,2.0,2.0,6.0,0.0,6,5,2,5.5
1217,142,660664,28,6,0,37,1,8,0,20,0.0,0.0,0.0,0.0,19,9,2,1.0
7492,142,660624,28,1,1,12,1,8,0,20,2.0,2.0,3.0,0.0,19,5,2,2.15
6334,142,660616,28,3,0,12,1,8,0,20,4.0,4.0,274.5,0.0,13,5,2,43.574999999999996
1557,142,660608,28,7,1,12,1,7,80,20,8.0,8.0,193.86,0.0,19,5,2,56.77900000000001
5654,142,660570,28,1,1,12,1,0,0,20,8.0,2.67,26.8,0.0,19,10,2,6.2205
5124,142,660562,28,7,0,12,1,7,120,20,11.0,11.0,130.0,0.0,19,5,2,60.25000000000001
4990,142,660558,28,7,1,12,1,8,0,20,5.0,5.0,115.75,0.0,19,5,2,20.1125
6089,142,660553,28,1,1,24,1,2,0,20,1.0,1.0,0.0,0.0,19,2,2,0.75
1387,142,660547,28,7,0,12,1,7,90,20,6.0,6.0,266.4,0.0,19,5,2,69.96
2162,142,660540,28,6,0,37,1,2,0,20,0.0,0.0,0.0,0.0,19,9,2,0.4
8320,142,660534,28,11,0,12,1,6,0,20,6.0,6.0,64.8,0.0,19,3,2,12.619999999999997
4788,41,660522,28,3,1,12,1,7,60,20,6.0,3.0,318.0,0.0,13,10,2,68.25
2520,142,660509,28,7,0,12,1,6,0,20,3.0,3.0,370.67,0.0,19,10,2,57.450500000000005
7095,142,660479,28,3,1,12,1,6,0,20,1.0,1.0,0.0,0.0,12,13,2,1.1500000000000001
9150,142,660478,28,3,0,12,1,6,0,20,4.0,1.33,67.0,0.0,12,10,2,11.849499999999997
5250,142,660471,28,3,1,12,1,7,0,20,1.0,1.0,0.0,0.0,6,1,2,1.25
8565,142,660461,28,3,1,12,1,8,0,20,4.0,4.0,52.67,0.0,5,3,2,10.3005
8568,142,660458,28,3,0,12,1,7,110,20,6.0,1.5,396.0,0.0,12,5,2,94.72500000000001
1855,142,660447,28,3,1,12,1,7,10,20,3.0,3.0,144.5,0.0,13,7,2,26.625
